开仓时间,出场时间,开仓方向,交易手数,入场价格,出场价格,出场原因,盈亏(USDT),账户余额
2026-02-28 06:10,2026-02-28 06:30,做空,0.54,65622.39,65332.60,止盈,+121.98,1121.98
2026-02-28 06:30,2026-02-28 06:35,做空,0.28,65480.88,65092.68,止盈,+90.53,1212.51
2026-02-28 06:35,2026-02-28 07:05,做空,0.20,65344.06,65813.58,止损,-108.47,1104.03
2026-02-28 14:15,2026-02-28 14:20,做空,0.41,65579.15,65162.13,止盈,+142.64,1246.67
2026-02-28 14:20,2026-02-28 14:25,做空,0.19,65311.89,64834.72,止盈,+78.79,1325.46
2026-02-28 14:25,2026-02-28 14:30,做空,0.20,65308.51,64737.58,止盈,+98.78,1424.24
2026-02-28 21:50,2026-03-01 02:50,做多,0.11,64208.62,65933.28,止盈,+176.49,1600.73
2026-03-02 21:30,2026-03-02 21:40,做空,0.26,66115.57,65642.16,止盈,+105.17,1705.90
2026-03-04 05:00,2026-03-04 11:30,做空,0.18,68222.43,67563.14,止盈,+107.80,1813.70
2026-03-04 13:45,2026-03-04 15:40,做空,0.31,68478.87,68936.04,止损,-164.71,1648.99
2026-03-04 15:40,2026-03-04 15:45,做多,0.15,68587.79,69447.36,止盈,+116.28,1765.27
2026-03-05 20:15,2026-03-05 21:30,做多,0.30,72650.27,72190.70,止损,-161.89,1603.38
2026-03-06 09:40,2026-03-06 12:40,做空,0.28,71050.83,70551.24,止盈,+118.65,1722.03
2026-03-08 16:40,2026-03-08 20:10,做多,0.39,67302.27,66947.41,止损,-165.07,1556.96
2026-03-08 21:25,2026-03-09 03:45,做空,0.33,67104.02,67484.62,止损,-146.76,1410.20
2026-03-09 04:35,2026-03-09 05:10,做多,0.30,67193.79,66818.41,止损,-133.18,1277.02
2026-03-09 08:35,2026-03-09 09:05,做多,0.58,66269.31,66076.72,止损,-151.21,1125.82
2026-03-09 11:00,2026-03-09 17:30,做多,0.10,66334.91,68153.74,止盈,+170.14,1295.95
2026-03-09 17:40,2026-03-10 17:20,做多,0.04,68092.19,71110.97,止盈,+107.01,1402.96
2026-03-10 23:40,2026-03-11 19:55,做多,0.06,70915.31,69175.48,止损,-109.55,1293.41
2026-03-11 21:30,2026-03-12 10:40,做多,0.12,70085.11,69285.30,止损,-108.16,1185.25
2026-03-12 17:40,2026-03-13 08:20,做多,0.13,69829.95,71704.49,止盈,+226.94,1412.19
2026-03-13 16:35,2026-03-13 21:55,做多,0.14,71620.00,73493.34,止盈,+260.60,1672.79
2026-03-15 07:05,2026-03-15 10:00,做多,0.36,70785.59,71250.81,止盈,+140.71,1813.50
2026-03-15 10:00,2026-03-16 11:35,做多,0.26,70931.28,73840.74,止盈,+744.42,2557.92
2026-03-17 03:00,2026-03-17 03:05,做多,0.32,73553.08,74105.72,止盈,+152.07,2709.99
2026-03-17 03:45,2026-03-17 04:50,做多,0.34,73553.18,74109.49,止盈,+162.14,2872.13
2026-03-17 23:00,2026-03-17 23:35,做多,0.35,74323.02,73686.46,止损,-248.43,2623.70
2026-03-19 11:15,2026-03-19 12:25,做多,0.37,71143.08,70591.43,止损,-230.92,2392.78
2026-03-19 19:35,2026-03-19 20:25,做多,0.49,69892.87,69500.90,止损,-225.76,2167.03
2026-03-20 09:00,2026-03-22 07:45,做多,0.15,70153.68,69547.00,反向信号,-105.01,2062.02
2026-03-23 19:05,2026-03-25 19:25,做多,0.14,68465.12,71884.67,止盈,+469.12,2531.14
2026-03-25 19:45,2026-03-26 13:40,做多,0.16,71460.91,70289.32,止损,-204.34,2326.80
2026-03-28 15:55,2026-03-30 00:00,做多,0.30,66467.36,66461.50,反向信号,-30.15,2296.66
2026-03-30 00:00,2026-03-30 00:05,做空,0.79,66673.78,66409.51,止盈,+155.53,2452.19
2026-03-30 00:05,2026-03-30 00:15,做空,0.84,66673.78,66413.59,止盈,+163.15,2615.34
2026-03-30 00:15,2026-03-30 01:10,做空,0.88,66673.78,66382.29,止盈,+197.30,2812.64
2026-03-30 07:00,2026-03-30 08:15,做空,0.44,66505.16,65754.29,止盈,+303.30,3115.94
2026-03-30 08:15,2026-04-01 14:20,做多,0.95,65645.81,68846.62,止盈,+2928.42,6044.36
2026-04-01 14:30,2026-04-02 09:15,做多,0.32,68783.74,67389.44,止损,-478.71,5565.64
2026-04-02 22:40,2026-04-03 12:40,做多,0.76,66669.46,66528.00,数据结束,-162.71,5402.93
